2
load:0x40080400,len:3028
entry 0x400805e4
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2724
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2734
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2720
Robot y:2732
wepon state:0
wepon pot:0
Robot state:0
Robot x:2713
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2707
Robot y:2736
wepon state:0
wepon pot:0
Robot state:0
Robot x:2723
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2734
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2735
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2722
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2707
Robot y:2732
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2729
wepon state:0
wepon pot:0
Robot state:0
Robot x:2710
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2726
wepon state:0
wepon pot:0
Robot state:0
Robot x:2720
Robot y:2731
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2719
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2727
wepon state:0
wepon pot:0
Robot state:0
Robot x:2705
Robot y:2719
wepon state:0
wepon pot:0
Robot state:0
Robot x:2719
Robot y:2729
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2725
wepon state:0
wepon pot:0
Robot state:0
Robot x:2708
Robot y:2731
wepon state:0
wepon pot:0
Robot state:0
Robot x:2720
Robot y:2725
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2713
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2725
wepon state:0
wepon pot:0
Robot state:0
Robot x:2708
Robot y:2735
wepon state:0
wepon pot:0
Robot state:0
Robot x:2721
Robot y:2719
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2738
wepon state:0
wepon pot:0
Robot state:0
Robot x:2724
Robot y:2725
wepon state:0
wepon pot:0
Robot state:0
Robot x:2713
Robot y:2723
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2709
Robot y:2725
wepon state:0
wepon pot:0
Robot state:0
Robot x:2713
Robot y:2721
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2720
Robot y:2734
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2723
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2713
Robot y:2722
wepon state:0
wepon pot:0
Robot state:0
Robot x:2718
Robot y:2731
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2727
wepon state:0
wepon pot:0
Robot state:0
Robot x:2706
Robot y:2722
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2735
wepon state:0
wepon pot:0
Robot state:0
Robot x:2709
Robot y:2722
wepon state:0
wepon pot:0
Robot state:0
Robot x:2713
Robot y:2736
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2732
wepon state:0
wepon pot:0
Robot state:0
Robot x:2722
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2721
Robot y:2733
wepon state:0
wepon pot:0
Robot state:0
Robot x:2710
Robot y:2723
wepon state:0
wepon pot:0
Robot state:0
Robot x:2719
Robot y:2727
wepon state:0
wepon pot:0
Robot state:0
Robot x:2710
Robot y:2729
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2720
Robot y:2729
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2718
wepon state:0
wepon pot:0
Robot state:0
Robot x:2719
Robot y:2724
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2723
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2734
wepon state:0
wepon pot:0
Robot state:0
Robot x:2716
Robot y:2724
wepon state:0
wepon pot:0
Robot state:0
Robot x:2715
Robot y:2730
wepon state:0
wepon pot:0
Robot state:0
Robot x:2719
Robot y:2728
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2736
wepon state:0
wepon pot:0
Robot state:0
Robot x:2717
Robot y:2725
wepon state:0
wepon pot:0
Robot state:0
Robot x:2714
Robot y:2734
wepon state:0
wepon pot:0
Robot state:0
Robot x:2711
Robot y:2732
wepon state:0
wepon pot:0
Robot state:0
Robot x:2720
